Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	mzML/FUS-Neurite-NT_1	mzML/FUS-Neurite-NT_2	mzML/FUS-Neurite-NT_3	mzML/FUS-Neurite-NT_4	mzML/FUS-Neurite-NT_5	mzML/FUS-Neurite-NT_6	mzML/FUS-Soma-NT_1	mzML/FUS-Soma-NT_2	mzML/FUS-Soma-NT_3	mzML/FUS-Soma-NT_4	mzML/FUS-Soma-NT_6	mzML/FUS-Neurite-KD_1	mzML/FUS-Neurite-KD_2	mzML/FUS-Neurite-KD_3	mzML/FUS-Neurite-KD_4	mzML/FUS-Neurite-KD_5	mzML/FUS-Neurite-KD_6	mzML/FUS-Soma-KD_1	mzML/FUS-Soma-KD_2	mzML/FUS-Soma-KD_3	mzML/FUS-Soma-KD_4	mzML/FUS-Soma-KD_5	mzML/FUS-Soma-KD_6	mzML/FUS-Soma-NT_5	mzML/HNRNPA1-Neurite-NT_1	mzML/HNRNPA1-Neurite-NT_2	mzML/HNRNPA1-Neurite-NT_3	mzML/HNRNPA1-Neurite-NT_4	mzML/HNRNPA1-Neurite-NT_5	mzML/HNRNPA1-Neurite-NT_6	mzML/HNRNPA1-Soma-NT_1	mzML/HNRNPA1-Soma-NT_2	mzML/HNRNPA1-Soma-NT_3	mzML/HNRNPA1-Soma-NT_4	mzML/HNRNPA1-Soma-NT_5	mzML/HNRNPA1-Soma-NT_6	mzML/HNRNPA1-Neurite-KD_1	mzML/HNRNPA1-Neurite-KD_2	mzML/HNRNPA1-Neurite-KD_3	mzML/HNRNPA1-Neurite-KD_4	mzML/HNRNPA1-Neurite-KD_5	mzML/HNRNPA1-Neurite-KD_6	mzML/HNRNPA1-Soma-KD_1	mzML/HNRNPA1-Soma-KD_2	mzML/HNRNPA1-Soma-KD_3	mzML/HNRNPA1-Soma-KD_4	mzML/HNRNPA1-Soma-KD_5	mzML/HNRNPA1-Soma-KD_6	mzML/TDP43-Neurite-NT_1	mzML/TDP43-Neurite-NT_2	mzML/TDP43-Neurite-NT_3	mzML/TDP43-Neurite-NT_4	mzML/TDP43-Neurite-NT_5	mzML/TDP43-Neurite-NT_6	mzML/TDP43-Soma-NT_1	mzML/TDP43-Soma-NT_2	mzML/TDP43-Soma-NT_3	mzML/TDP43-Soma-NT_4	mzML/TDP43-Soma-NT_5	mzML/TDP43-Soma-NT_6	mzML/TDP43-Neurite-KD_1	mzML/TDP43-Neurite-KD_2	mzML/TDP43-Neurite-KD_3	mzML/TDP43-Neurite-KD_4	mzML/TDP43-Neurite-KD_5	mzML/TDP43-Neurite-KD_6	mzML/TDP43-Soma-KD_1	mzML/TDP43-Soma-KD_2	mzML/TDP43-Soma-KD_3	mzML/TDP43-Soma-KD_4	mzML/TDP43-Soma-KD_5	mzML/TDP43-Soma-KD_6
Q14249	Q14249	NUCG_HUMAN	ENDOG	Endonuclease G, mitochondrial	341595	317531	282671	228917	223550	233272	672892	771220	641154	785720	733877	409477	320831	313607	334245	222111	330825	821329	834070	821702	756424	346269	885215	602704	212476	335177	257236	225638	233329	258700	522099	517979	392120	581311	595570	496318	307107	271036	319665	337011	333281	392021	541323	617331	703975	569983	757954	694483	219491	237175	151301	278132	280481	245203	717591	555996	726873	649609	682495		408199	424700	370342	341273	320380	214706	1308050	1247680	999946	1135740	1352840	456813
Q14254	Q14254	FLOT2_HUMAN	FLOT2	Flotillin-2	1973240	2213970	2214350	2369480	2212200	2245150	2024610	2049300	1997830	2019190	1911120	2582280	2520510	2365930	2331300	2501160	2409350	2125020	2068080	2292080	2040720	1020450	1971230	1803240	2021460	1965310	2005680	1954260	1951630	2074720	1866780	1897320	1840410	1664960	1805680	1824890	1987890	1898480	1807560	1763380	1903980	1561800	1879010	1936120	1944020	1894410	1952100	1835070	1873190	1977940	1777590	1879040	1968630	1843090	1802670	1531980	1985330	1759380	1710110	1016740	2312160	2378610	2273790	2222750	2116530	2257960	2328210	2269860	2512590	2562410	2415140	1042080
Q14257	Q14257	RCN2_HUMAN	RCN2	Reticulocalbin-2	4354460	4425370	4827110	4531490	4349530	4583820	6742270	6648300	6498450	6777440	5897280	4300350	4057840	3948630	4072760	3861970	3438380	6763220	7263380	7704530	7686470	15881600	6611250	6818750	4513860	4914940	4627510	4720680	4749880	4841800	7012650	6302690	8086310	8148990	6571730	6185490	4109290	3575810	3932430	4097930	3961940	3742930	6310330	5742940	6472960	6799010	6622710	6559510	3753270	4009940	4062060	3665630	3843320	3779890	6204810	8570640	6319480	5999890	6030980	19832200	3517380	3803010	3501690	3566030	3877990	3211030	5528790	5434870	5777520	5731470	5107350	14157100
Q14315	Q14315	FLNC_HUMAN	FLNC	Filamin-C	15015500	13357300	14032700	12445200	12617700	12147000	6259360	5619040	5830090	5417190	5365230	14501600	13491700	14293100	13898100	13075700	14248600	6178540	6135830	6263020	5818150	2914590	6274350	5348700	15013400	14101500	13367300	15064300	13857700	13516500	5408540	5888000	6474730	5848220	5320100	5436920	19922700	20142400	20256300	19349400	20172900	21781100	7171380	6992300	7220250	7098170	7670260	6893120	9778470	10336500	10404300	10463600	9863980	9617460	3616380	3075170	3551970	3237750	3244550	2176430	9131200	9930300	9694880	9575650	11007300	9465860	3023750	2944010	3035040	3038560	3432360	1742570
Q14318	Q14318	FKBP8_HUMAN	FKBP8	Peptidyl-prolyl cis-trans isomerase FKBP8	1554940	1519610	1462180	1151330	1025410	1037950	3899660	3686220	3686390	3883690	3495170	1131610	1094320	1270240	1014140	880937	1094550	4128710	3795120	3921620	3731850	1579630	3834260	3981190	1436820	1467560	1620700	1671140	1687380	1827240	3531610	3849320	3664990	4275670	3565740	3943630	1789770	2110860	1821770	2128460	2040470	1986150	4111730	3706210	3586240	3744100	3765180	3471860	968136	922284	1057040	1026770	1079470	992068	3370980	2462060	3326580	2963920	3169180	1429090	1124390	1333040	1250760	1181170	1418740	1201340	3722130	3529860	3733490	3748140	3605280	1562450
Q14320	Q14320;Q9Y247	FA50A_HUMAN	FAM50A	Protein FAM50A	149350	144520	140333			56003.8	588065	615318	565353	614780	714601	82048.2	115651		190951			641561	547820	489039	669946	738489	654711	646151	103960		102032	114261	139832	129185	660523	590436	609628	500629	561505	578542		182509	239032	150115	158929	236676	550798	605996	599383	575241	463789	660160							913460	824997	963088	902382	895547								933802	1019250	1013240	712406	717894	394992
Q14331	Q14331	FRG1_HUMAN	FRG1	Protein FRG1	391286	235374	255956	151431	177699	178720	1369830	1312750	1384750	1176620	1434110	194538	172023	213716	200624	179396	292185	1534690	1462500	1407840	1231850	616245	1450550	1047440	265862	298127	215185	294936	263353	243527	1107870	1394810	1150300	1442190	1186820	1305910	449829	383291	393773	443151	413130	455420	1424660	1496030	1550010	1418540	1321370	1068780	155091	197247	228322	182732	171365		1260400	915841	1058900	1120140	1186550	5794110	130758	272467	223565	167894	302607	230678	1085690	1264250	1277190	1439170	1288180	
Q14344	Q14344	GNA13_HUMAN	GNA13	Guanine nucleotide-binding protein subunit alpha-13	9312800	9495700	9459590	9280210	9113690	9573960	7725330	7193200	7475360	6655780	7501240	10721300	10556600	10479700	10243000	10670200	9951480	7139550	7783780	7532440	7322110	3280480	7376360	7711840	10173600	10167300	9989570	10043400	9760480	10379000	6854950	7745800	7472120	7220490	7169290	7569680	10917900	9895290	10591400	10826100	10945300	9975870	7707370	7555300	7270140	7664570	6707600	7100330	8542310	8354220	7867020	7839980	8243060	8402870	6107680	4814330	6054920	6226790	5709130	2687900	8856050	9109490	9164100	8359180	8783230	8512210	5647440	5530070	6016660	6142020	6058980	2180110
Q14353	Q14353	GAMT_HUMAN	GAMT	Guanidinoacetate N-methyltransferase	1110590	659786	711028	754069	656980	685040	534232	584463		2313180		958335	599349	195471	927390	809520	1000730	2354980		741508			537703	1047480	880107		743046	1318870	957142	388215	1831850				766426		981836	1384870		1099180	1759590	1260670	740391		856058		1678320	1007310	463716	440670	365847	713146	347861	642476	408375	488883	291178	297481	449318		415859	542968	672149	645466	642477	685928	296491	373401		279437	415337	
Q14376	Q14376	GALE_HUMAN	GALE	UDP-glucose 4-epimerase	847365	806437	823264	823308	800370	842897	606203	595946	619021	585402	624238	644140	785493	781380	781412	796484	778022	397858	468848	577787	549043	201952	558013	628062	632412	762355	724667	849415	879232	703056	449010	492565	691539	534455	521940	469742	902637	818434	915145	837178	819802	943694	600431	455576	468977	564407	366319	389200	925260	790750	846531	866162	862394	860128	431528	641533	490535	693493	285041		770890	913592	984128	645998	871651	966086	437573	458208	277793	355715	501095	
Q14416	Q14416	GRM2_HUMAN	GRM2	Metabotropic glutamate receptor 2	964048	911144	925605	1013490	945693	1120100	445421	475974	510889	446112	502924	793748	780437	810931	723042	818692	729265	298313	442731	419990	487279	345173	398194	450737	889977	1027850	939538	884704	990204	989174	550518	578354	660594	594242	564631	532781	847049	876347	882129	784082	833811	787100	514544	620588	568702	619217	651795	577710	941397	994252	840145	867664	932904	946583	515350	521973	405957	626184	462666		780740	853619	818941	777948	707429	769783	477437	455087	331763	391675	478826	
Q14444	Q14444	CAPR1_HUMAN	CAPRIN1	Caprin-1	474230	467225	465580	423386	436609	441882	2826360	2822330	2896630	3001270	2754460	539440	490396	489042	491748	450755	411731	3008370	3110070	3191250	3390200	15937700	3002480	3092140	480130	607682	462625	535524	437693	438289	3089330	2948560	2782990	2858220	3260360	2875130	565522	677841	568624	550669	632683	521905	2645750	2804240	2984300	2895580	2739060	2786190	520039	580166	770645	649999	529425	565508	3050880	5227990	2868430	3589760	3670210	11115200	529557	510517	510338	546022	531630	545849	2637580	3019200	2690520	3038520	2577420	11052200
Q14457	Q14457	BECN1_HUMAN	BECN1	Beclin-1	36047.2	28332.1	48151.8	34944.6		43231.5						42543.8					12931.3								60219.6			30026.1										35861.4		50826.2		44777.8										107265																				
Q14469	Q14469	HES1_HUMAN	HES1	Transcription factor HES-1	206256		277915	604290		506020	620009	667823	704464	852360	696260				518737	329463	158747	894564	753057	829744	845630		500919	702378			404469	377490	555705	504589	961432	744869	421333	510629	505539	747743							614189	498203	479140	484718		487292	436591	707973	508144	671585	708733	610430	2363240	519557	1889090	1054510	2094450		389222	219675	424091	553986	286185	658225	1699810	1731800	2078140	1781380	1447350	
Q14498	Q14498	RBM39_HUMAN	RBM39	RNA-binding protein 39	1018120	794412	889157	577426	618631	898105	5935790	5686080	5825350	5676950	5819190	703134	676040	670877	650392	634030	788017	5766830	6022670	6018050	6153080	3400000	6109130	5741120	845461	903877	995480	1232650	873018	886344	5644320	6099850	5749760	6116670	5746100	5377570	1705570	2029260	1804790	2149710	1966040	1835450	6229310	6188150	5834370	6883330	6202180	5794160	547257	376481	608428	694464	657645	555903	4260470	3496990	4128400	4129490	4362770	3524630	497243	639448	551156	473859	743447	542642	4590800	4576350	5121840	4068860	4085180	3215810
Q14527	Q14527	HLTF_HUMAN	HLTF	Helicase-like transcription factor							235557	306866	220754	186668	246699							217062	198213	307402	191148		178849	167680							159696	133979	162303	187063	180947	122297							235030	252685	269983	301813	217765	246662									134153															
Q14534	Q14534	ERG1_HUMAN	SQLE	Squalene monooxygenase	281331	279662	254064	257097	262547	195472	456242	518628	417774	476007	516589	142961	187981	191859	211678	220724	182247	333991	404824	503125	447330	54720.6	341475	228888	272622	246017	279910	197476	316386	256591	288222	242286	246252	319374	292153	316756	286350	297213	283342	229698	294451	235872	313957		248758	430906	251343	265184	314004	345153	338052	378750	344096	334192	696631	739757	780781	862968	720031		287927	323995	299190	379622	395254	310304	856282	698418	755636	814447	719694	
Q14554	Q14554	PDIA5_HUMAN	PDIA5	Protein disulfide-isomerase A5	876987	818226	724821	675936	638854	610948	1428980	1586120	1339420	1435230	1402470	646515	701470	781249	782310	714049	870301	1577310	1466420	1503000	1378560	403701	1557220	1499590	906522	923098	802901	893677	850834	981079	1567240	1494630	1667390	1582950	1452560	1216950	1104280	1238680	1093560	1083390	1035680	1219680	1477360	1458530	1330950	1387260	1695440	1368190	428787	557241	630445	470897	602463	516058	978613	888287	1052820	905632	729459	1281330	603451	724001	595768	670509	779489	598058	1204240	1265520	1136510	1220650	1135100	1301450
Q14558	Q14558	KPRA_HUMAN	PRPSAP1	Phosphoribosyl pyrophosphate synthase-associated protein 1	719168	670746	739902	717469	936364	792906	622276	596930	401039	598604	558198	796611	822207	793376	649688	694460	700107	361990	450072	516413	532779		370823	418761	839334	899603	741726	962441	778661	683214	195518	544289	372828	468751	381809	550503	784125	790646	825049	748454	931800	642013	524556	431647	737225	551766	478817	481303	708649	758163	745172	694534	677431	859015	280305	471815	349154	503492	429172		609416	639046	638409	864218	608016	728707	341691	365128	396648	322500	386863	
Q14562	Q14562	DHX8_HUMAN	DHX8	ATP-dependent RNA helicase DHX8	27617.3	40133.4	40479.9				204297	198306	191482	208697	263526			22770.1				205576	269193	228719	208774		239520	283852			22060.5				195297	216442	238920	210407	229320	126254	47642.6	56569.7	41335.8	57197.9	48914.9	43995.9	297417	242648	182541	250941	197871	217935								211937	248565	155173	182208								167462	128193	176401	156743	194164	
Q14566	Q14566	MCM6_HUMAN	MCM6	DNA replication licensing factor MCM6	131598		105884	85042	83729.5		409818	357814	386811	410284	347789	118705			102630		124772	398156	368413	380024	330832		425680	337572		106559	99452.2	199235	166924	120091	332694	421059	506683	392770	349159	248547	294773	235003	199312	220685	205715	201207	506677	547978	479756	432824	419166	303270				98607.2			140860	172303	222250	247586	189925			101477					145758	212153	224729	245939	168179	
Q14576	Q14576	ELAV3_HUMAN	ELAVL3	ELAV-like protein 3	7341980	7968690	6766620	5173280	5449010	4881450	25353100	27218400	27013000	29572200	28094500	7033840	5308480	5841910	5926270	4461160	6684010	29771700	30907400	33911100	29681900	19286200	34052600	26663600	8173870	7052280	7791350	8989540	7971220	7774710	23565200	26288000	28255400	28349300	27734300	24394600	12496200	14545500	13809500	15175900	14728000	14771400	28937500	29677200	27332400	30417500	31242500	28299400	6793800	7033400	7536880	7188790	7382790	6588440	28892300	31956300	28421200	35155600	29173800	20266600	4732480	4762620	5086710	4731670	5143680	4139510	17848900	15446400	16462200	19234300	16127900	16039700
Q14642	Q14642	I5P1_HUMAN	INPP5A	Inositol polyphosphate-5-phosphatase A	317898	345621	354792	356627	339405	293083	289739	253410	284276	215270	208611	301758	336944	355954	353744	378796	364867	368551	314042	245371	258859	182091	149710	209093	318292	384657	323726	316755	311749	334739	102582	167910		235945	100212	299103	244000	324865	316345	266247	305058	240854	225465	153973	362548	217246	264537	212852	352566	323591	274899	272888	311599	305130	235524	200185	152562	302234	339289		286708	330977	275538	249327	272433	305072	204410	222633	210592	235743	270992	
Q14644	Q14644	RASA3_HUMAN	RASA3	Ras GTPase-activating protein 3	440852	459524	438091	395828	390247	409158	432364	431611	441505	453793	454347	377003	346272	371887	356678	391393	374076	378211	484561	438134	409298		477438	426283	469181	431822	489568	532169	505564	573960	420645	500528	391416	575272	404129	457732	586550	535534	572406	564140	585789	581193	408964	472633	512950	566666	567939	455714	489379	514244	541586	449375	490205	420855	456774	380758	495705	433895	410469		342985	375899	339555	267569	326444	240386	381031	462917	402958	364437	431585	
Q14657	Q14657	LAGE3_HUMAN	LAGE3	EKC/KEOPS complex subunit LAGE3	61268.6		75261.2		59393.4		169038			124252	190616	74198.1	124795	139356	55142.8	225173	81724.6	238938	206511	178034	204291		199190	228966							208883	160488	142776	156903	225092	168405	182017	65298.9	40709.4	22205	130981	140580	157418	77190.3										8877.65		265005	305771	336631												324295	301950	
Q14669	Q14669	TRIPC_HUMAN	TRIP12	E3 ubiquitin-protein ligase TRIP12	413708	430316	400804	347437	372446	276324	1090570	1058750	1135700	1180450	885277	317965	271548	375808	222715	171629	386328	1110600	1084210	1169790	1046440	335305	989441	1061310	445729	509296	514825	481094	472148	456174	997416	991433	1046880	1041620	1008890	1015510	613498	525125	567674	534385	589469	731031	1274590	1141060	1426090	1233360	1105110	1130860	343781	298773	328254	362383	330816	306416	970664	725277	1049590	883322	756568		197563	222907	203745	283730	395594	222883	996822	934842	1073990	1057580	928044	
Q14671	Q8TB72;Q14671	PUM1_HUMAN	PUM1	Pumilio homolog 1	460325	448601	485624	322041	357436	346348	1200930	1168980	1273690	1219270	1231490	293262	282533	380485	277315	310738	344231	1128980	1220560	1150600	1103310	527739	1155680	1172470	414184	496403	393886	461668	571997	462426	1137160	1107660	1077250	1141770	1185790	1192290	719588	854768	676249	819566	747891	785537	1164800	1234990	1224250	1202110	1224570	1259390	322421	318214	356747	256091	387150	374570	1057980	942663	1133330	1089660	1211000	1002190	274074	404535	337470	269404	488776	345225	999664	1020800	1002650	1088150	1060670	1062380
Q14676	Q14676	MDC1_HUMAN	MDC1	Mediator of DNA damage checkpoint protein 1	192539	193219	229878	208507	136151	151623	597299	595636	642562	534810	668349		150769	222688	175889	157874	194938	688474	722931	727682	733438	483140	635234	644901	121701	160324	226098	175771	191799	222666	523250	627888	555545	543223	557794	597548	353764	359456	314222	303960	356416	402824	601771	617748	597886	608718	604179	490255		183311	460610	134804		1262140	673421	675023	679062	708738	514215								811619	735722	791507	859500	732411	
Q14677	Q14677	EPN4_HUMAN	CLINT1	Clathrin interactor 1	693000	753475	708896	870737	812071	824847	1067570	951131	1053330	1132230	1124610	789326	763154	740238	801470	776767	742674	1087840	1101820	1026500	1070790	2014220	983985	1113380	855942	657695	776814	716139	743232	764961	1110700	1068960	964262	1022660	1189660	1336570	535297	426467	554623	535122	570075	473046	1066100	951443	1092140	1015120	1023060	1155680	767336	798800	793243	826070	789624	713771	1232860	1036280	1170580	1113210	1128730	1189480	814725	825968	799684	773594	818283	727148	869388	874421	906288	849894	818486	1264070
Q14681	Q14681	KCTD2_HUMAN	KCTD2	BTB/POZ domain-containing protein KCTD2	208853	240892	201048	210210	162311	143626	218087		207538		203759	213067	185874	162992	211414	192068	132026	248152		225243	184520						157806	173008		195320	149854						140520	126847	164739	145481	132229						188778											89206.9														
Q14683	Q14683	SMC1A_HUMAN	SMC1A	Structural maintenance of chromosomes protein 1A	899276	821369	943856	579793	538924	553133	3074110	3099050	3218290	3164900	3194250	659501	639545	694710	686238	622102	572851	3276580	3183770	3379250	3492750	1338560	3527650	2842540	702983	1059160	700929	973961	792346	781574	2850360	2949650	2875610	2853440	2879890	2725580	1538130	1408240	1411650	1423340	1408510	1530980	2934600	3006750	3049140	2978620	2858220	2696800	637630	580838	722027	676013	752184	596250	2775090	2803410	2839610	2978890	2969740	1403560	619399	768965	671464	640950	807975	630068	3298460	3348120	3212370	3587810	3323950	1794450
Q14684	Q14684	RRP1B_HUMAN	RRP1B	Ribosomal RNA processing protein 1 homolog B		88125.3	99345.9				2184570	1851980	1968090	1709240	1944670		62593.2	55492.7		486331	800419	1922170	1884120	2037250	1872780	966368	1926990	2098530					106137		1968970	1921800	2235930	1855240	2000490	2104740	213333	353092	315506	360012	284784	211634	2438050	2480400	2301050	2415790	2215470	2050970	586222	467437	1115700			154026	1589380	1623950	1705530	1697620	1783340	747301				545344			1807180	2011040	2048530	2152500	2053890	1048120
Q14689	Q14689	DIP2A_HUMAN	DIP2A	Disco-interacting protein 2 homolog A	12297.2	29366.8	15194.8	23084.5	19834	18250.1										17810.3	28030.6																				5542.43																																			
Q14690	Q14690	RRP5_HUMAN	PDCD11	Protein RRP5 homolog	245260	210423	223415	35175.4	83821.3		2006210	1762760	1618600	1760520	1593120		102257	153450			29845.3	1508780	1656140	1852700	1721240	303040	1571390	1548270		477089	220836	197844	151577	192103	1447590	1684280	1903490	1779590	1373800	1424570	382870	308700	397032	480983	422685	372219	1848710	2169620	1944050	2088470	1869380	1712790							1373700	1407680	1395470	1625420	1211610						163034		1640760	1690080	1646970	1786410	1751130	686489
Q14692	Q14692	BMS1_HUMAN	BMS1	Ribosome biogenesis protein BMS1 homolog							1904660	1572020	1548110	1478540	1629990				1636120		1409940	1729640	1776680	1925370	1800350	239061	1730560	1568510							1335290	1684920	1810390	1699440	1463040	1538760		785775	1869420	283521			1888450	2278510	2125130	1954460	1654360	1768280							1245100	1500640	1200120	1619550	1097700								1678700	1578560	1363130	1611130	1341520	
Q14694	Q14694	UBP10_HUMAN	USP10	Ubiquitin carboxyl-terminal hydrolase 10	1028550	1056330	957789	711370	732936	649958	1630730	1542160	1595290	1524970	1565030	819981	692375	731307	669894	689039	766394	1530930	1383750	1506500	1429440	564333	1648810	1696940	988479	922870	1061410	1118600	958402	1033220	1510230	1541310	1495940	1428380	1504500	1514550	1410940	1556200	1344810	1245030	1331230	1664530	1544230	1403650	1394980	1361880	1382750	1400810	680377	774298	928389	834746	852311	724241	1421490	1214540	1471880	1321460	1614620	731225	531674	678818	505188	637604	756702	609917	1201580	1067360	1111360	1241710	1143320	687005
Q14696	Q14696	MESD_HUMAN	MESD	LRP chaperone MESD	1082000	1164680	1147480	1113240	1350560	1291960	2077360	2191190	2308370	2205840	2432750	1170470	1075640	1092230	1144710	1108510	900896	2084060	2153330	2570060	2553030	700712	2102100	2406710	1001340	1498820	1274720	1152830	1011000	1376890	2683290	2551020	2297040	2843080	2471820	2503850	1361000	1348440	1085190	1407440	1192310	1257810	2232550	2348530	2389400	2292190	2403490	2476330	1133680	1449210	928566	1033780	1393110	1333310	2543800	2261800	2885950	2618710	2598170	1079740	1148640	1304920	1337860	1221510	1569500	1423870	2246390	2861680	2915490	2370940	2729300	1850860
Q14697	Q14697	GANAB_HUMAN	GANAB	Neutral alpha-glucosidase AB	16264200	16394600	16028000	16338000	16432500	16174200	18783700	19269600	19824400	17384600	19655400	15497900	15771200	15939000	15403900	15404600	17479100	16053400	19030000	19853700	18662100	12919700	18169500	14857500	15642900	14465900	15967600	16984500	16890300	15855600	16179100	18608500	18601100	16814700	15412800	15985700	21189200	20446200	19978000	19988400	19473100	19155500	18354000	18486500	17827800	18220300	16907100	15443400	14653400	15355100	16005500	15443600	15654600	16259000	19412000	19063900	19308900	21199800	18480800	10595400	16471600	17962800	17457700	16889600	19634400	17366600	20663800	20644100	20174900	21076000	19643000	10055300
Q14728	Q14728	MFS10_HUMAN	MFSD10	Major facilitator superfamily domain-containing protein 10	799412	732653	660906	688982	1128920	129365	739862	813589	664322	621371	209543	386153	538013	500766	676906	606786	179099	786343	705159	1156660	497199		209208	791093	476840	256863	103923	418534	982362	334650	130106	88500.7	172000	815188	586238	144205	1110980	188336	1014290	130056	88145.9	1371690	92553.9	460973	1632850	590011	576290	563110	454054	393104	599090	382015	406778	707402	507753	381454	463775	396383			762361	485673	447882	436742	435259	389619	536770	601814	490786	556931	562833	
Q14738	Q14738	2A5D_HUMAN	PPP2R5D	Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit delta isoform	5720040	5321180	5437870	5423650	5112670	5009720	3609570	3818800	3554760	3602740	3546270	5020700	5020000	4967500	5027640	5242350	5252380	3772030	3830220	3469560	3709900	1629680	3532470	3861880	5444470	5194080	5077030	4864630	5140890	4732640	3841630	3217630	3291510	3744210	3640000	3458730	4762640	4409910	4547320	4690490	4642730	4413070	3425810	3356410	3748740	3482430	3168060	3464260	5521940	5740340	5654980	5686470	5607590	5671550	3868450	3375330	3860620	3793060	4033320	818560	5827750	5838190	5530680	5813340	5604130	5842030	3667880	3704470	3793170	3395470	3692930	768789
Q14739	Q14739	LBR_HUMAN	LBR	Delta(14)-sterol reductase LBR	915613	1241420	1194210	1135930	1283650	1187400	3767350	3538790	4074790	3406730	4088490	787442	1196160	1053670	1059840	1292650	1330970	4084020	4272380	4302810	3918780	2214010	3882920	3381070	1086580	936325	1384320	1163800	1391270	1209890	3484810	3643350	3634270	3499850	3748140	3936560	1226360	1317730	1168620	1315480	1130510	1192260	3645900	3752780	3514580	3937570	3926260	3573750	1153500	1349670	1293960	1139340	1206230	1129050	4383990	4081800	4477120	4694550	4244580	2934360	1700590	1535720	1661830	1393210	1535460	1575780	4231410	4157190	4932570	4864590	4544130	2839700
Q14746	Q14746	COG2_HUMAN	COG2	Conserved oligomeric Golgi complex subunit 2	336493	325214	432141	364978	326837	308735	218462	299194	279867	308319	194230	303456	323830	356149	364656	238506	304017	203601	291805	232058	194090	137495	136165	264297	308691	402387	340328	400043	355412	366246	170319	165462	252797	265932	181077	187845	643114	644499	494134	592229	530556	489377	367102	210734	308853	281587	287209	218734	258983	245116	295174	265109	334952	297127	251295	354429	118063	368539			424336	500695	464298	466849	501412	460175	377694	354024	195286	145649	313072	
Q14764	Q14764	MVP_HUMAN	MVP	Major vault protein	3312700	2848940	2865730	3035200	3038910	2652740	3182990	3246260	3236060	3153660	3120220	3795430	4049630	4257970	4160610	4040320	4619750	4540520	4338160	4263350	4240340	2873670	4350280	3084710	4384020	4927030	4168140	4466350	4016800	3997190	3048960	3233790	3235160	2953000	3118260	3160910	7973740	8070920	7591000	6782660	6825340	7580460	3716460	3583410	3926780	3692690	3786010	3540780	1693610	2263290	2236880	2261380	1816530	2391030	2537600	2093530	2498770	2353910	2458750	1093260	1494610	1642040	1598520	1615850	2198330	1581480	1962200	1828850	1729520	1757280	1677300	657483
Q14781	Q14781	CBX2_HUMAN	CBX2	Chromobox protein homolog 2							62984.1											130441	107546	154781			124974	179259							177924			137193	91314.4	93198.7								120562	169348	180892	100325	208283																								
Q14789	Q14789	GOGB1_HUMAN	GOLGB1	Golgin subfamily B member 1	380154	267829	83293.1			130655	444379	461004	411533	448760	440433	65566.6	67652.3	105027	97371.7	62815.3	77149.7	402520	485483	480936	475090	678998	408603	429291	86420.7	172947		81677.5			407609	432205	430578	392969	432223	430667	150698	140969	104611	79569.7	177661	157427	363346	421143	366157	456957	439092	371908				155278	112156		392432	561606	404020	442612	325369	1099340			152495	170450	273072	146258	449057	398734	361142	417464	349637	540150
Q147X3	Q147X3	NAA30_HUMAN	NAA30	N-alpha-acetyltransferase 30	373601	528396	436318	509596	393271	437060	627766	577956	585228	488523	591463	481608	403339	383241	418219	384311	457288	577744	619379	494896	525207	573847	627242	614552	484146	716386	466552	545980	474986	459543	733475	578038	582325	752101	522328	657338	525432	631436	608649	644719	523828	539467	583317	552178	570341	616221	423741	622927	545602	394374	530572	391191	539150	524556	572570	530686	579197	512621	543013		425108	464145	361896	395621	458497	372505	455357	500604	552981	487681	508274	
Q14839	Q14839	CHD4_HUMAN	CHD4	Chromodomain-helicase-DNA-binding protein 4	684722	679960	660919	485320	479690	537194	3210140	3308430	3331490	3209520	3382970	549517	528932	620839	527492	471408	633255	3323250	3635550	3552390	3521570	2299770	3712510	3042810	633890	516655	631073	748366	650039	544621	2957790	3296700	3122610	3292590	3080850	2976740	1254390	1474870	1292120	1324350	1291480	1313430	3596920	3702230	3735900	3687030	3475280	3381090	436647	559912	647640	540854	659117	576529	2662030	3045680	2862050	3216060	2756520	1895080	561115	652698	655858	521510	833446	516176	3167200	2983350	2949690	2786100	2850210	2199100
Q14847	Q14847	LASP1_HUMAN	LASP1	LIM and SH3 domain protein 1	6375530	6606340	5855000	6947840	6761740	6934620	6191820	5995060	5588280	6138190	5772580	7840420	6966610	6746580	7583330	7394920	6466120	6799120	6302210	5779840	6300400	9685340	5894010	6956340	6719300	6499690	6087850	5834650	6422160	6808010	7034420	5686980	6206330	6486450	6532170	7378820	4050600	3091860	3616000	4077780	4402800	3031260	6132390	5408330	5942660	6429530	6127030	7162350	7435330	6873220	6749840	6710160	7291110	7012050	6508120	7252070	7065980	6374280	7129790	15064100	10064900	8733300	9789570	9585860	7735240	10247300	6525910	6245590	6566140	6043670	6504170	16358800
