"","Protein_Group","Genes","[1] HN1.raw.PG.MS2Channel3","[2] HN2.raw.PG.MS2Channel3","[3] HN3.raw.PG.MS2Channel3","[4] HN4.raw.PG.MS2Channel3","[5] HS1.raw.PG.MS2Channel3","[6] HS3.raw.PG.MS2Channel3","[7] HS4.raw.PG.MS2Channel3","logFC","AveExpr","t","P.Value","adj.P.Val","B","Group"
"2576","Q8TC26","TMEM163",58.37837219,209.4480438,80.86564636,73.24865723,21.94863892,24.66389275,48.33401489,1.60249444212833,5.85788297442004,1.98485021012279,0.0890313462427129,0.214940194985804,-4.24102443976781,"Others"
"2577","P30086","PEBP1",1655.88147,1740.272217,1898.037354,2084.653564,2895.577637,2440.971924,2033.391724,-0.403736152918789,11.0174090601231,-1.98093535619875,0.0895396661354964,0.216083501628503,-4.24595168950749,"Others"
"2578","Q9Y4C4","MFHAS1",1068.080444,1264.519775,1235.905029,1785.639282,1569.918335,118.732338,NA,4.52045134297029,8.42346889115103,1.98037303055131,0.0896129161479482,0.216176386937195,-4.24665929676826,"Others"
"2579","Q9UHB6","LIMA1",300.558136,141.5253601,346.7081299,188.9716187,220.7781677,2476.949951,833.1535034,-1.74000625410803,8.59640203211582,-1.98005936377837,0.0896538009548728,0.216191154764775,-4.2470539868822,"Others"
"2580","Q7Z2K6","ERMP1",20.47261238,13.56356525,84.57028198,61.21126175,54.21107864,NA,NA,3.23775286244764,3.77910645340495,1.97925184586067,0.0897591415627466,0.216361279604155,-4.2480700449711,"Others"
"2581","Q86SF2","GALNT7",NA,17814.60742,NA,NA,1984.108521,1758.369385,1443.041748,-7.21370035254516,6.62179937844969,-1.97890691112103,0.0898041755611437,0.216385961958447,-4.24850403655518,"Others"
"2582","O95071","UBR5",NA,NA,97.75215149,101.5798874,156.6027832,207.3313599,148.1557312,-4.08126758327791,5.07570076796026,-1.97682407935659,0.0900765811813551,0.216958272024341,-4.25112434271288,"Others"
"2583","Q8TCT9","HM13",114.0162964,NA,267.3618164,290.611084,470.0704956,1593.881592,1148.666748,-4.1199363040394,7.54109494437886,-1.97628678969071,0.0901469837181222,0.217043783098336,-4.25180020145315,"Others"
"2584","P10114","RAP2A",NA,103.8496475,NA,63.77850723,72.40798187,187.4897003,210.8546906,-3.97864067965027,4.88753709949117,-1.97394589262578,0.0904543532454937,0.217699544440296,-4.25474444725873,"Others"
"2585","O60488","ACSL4",NA,150.2103577,95.88424683,NA,208.8746033,119.6706009,381.6278687,-4.27638661351182,5.29238795903105,-1.97172365722576,0.0907471003904238,0.218243685259547,-4.25753887541899,"Others"
"2586","Q9Y2J2","EPB41L3",228.9080658,NA,NA,80.29776764,126.0292053,428.1245117,283.3664856,-4.41444457402477,5.43941909320663,-1.97143100025914,0.0907857233906495,0.218243685259547,-4.25790684548394,"Others"
"2587","Q9Y6M4","CSNK1G3",66.28936005,86.25852203,NA,NA,112.3251724,91.78528595,201.282959,-3.87691056174877,4.79141575492967,-1.97156964211675,0.0907674242979284,0.218243685259547,-4.25773252638773,"Others"
"2588","P53007","SLC25A1",NA,NA,NA,583.6746216,112.4110718,110.1388397,197.2558594,-4.7864130093957,4.34919240136878,-1.96970136968961,0.0910143208962538,0.218708679155256,-4.26008138425973,"Others"
"2589","Q8TEQ6","GEMIN5",10.25361538,104.747345,32.98497772,NA,68.57187653,154.0562286,217.8153229,-3.23097842914307,5.21060993113397,-1.96915942875671,0.0910860637355487,0.218796535485275,-4.26076265681115,"Others"
"2590","Q02127","DHODH",106.4424438,137.6246796,62.19258499,126.8243484,144.9382477,464.426239,291.4398804,-1.37066571415586,7.29796885550599,-1.96770439017195,0.0912789600792485,0.219175232715385,-4.26259161520705,"Others"
"2591","Q9NXV6","CDKN2AIP",NA,NA,90.16822815,NA,37.12014389,38.14038467,25.56225586,-3.46384301212671,3.11211895606293,-1.96578791942902,0.091533644889825,0.219701944256975,-4.26500021310317,"Others"
"2592","Q96P70","IPO9",854.2382813,124.9966507,NA,108.9263687,896.4956055,1281.13916,1243.645752,-4.26408475510431,7.70191936501354,-1.96500267865486,0.0916382001454278,0.219868042710037,-4.26598697148965,"Others"
"2593","Q7Z4W1","DCXR",415.7512207,89.13626862,71.18934631,33.22108459,346.2333374,299.0248718,423.3070679,-1.84898677003844,7.4093244145132,-1.96299027713382,0.0919066911851584,0.220427193397802,-4.26851549070157,"Others"
"2594","Q9P265","DIP2B",85.93440247,NA,NA,NA,239.2110291,17.87573433,17.18748665,-3.83336741888732,3.25333557627265,-1.96145585466367,0.0921119327632903,0.220834275194642,-4.27044312543942,"Others"
"2595","Q3ZCW2","LGALSL",191.8045349,256.049408,153.7548523,265.0565491,176.3375244,69.17137909,24.68058968,1.63632465997405,7.03029975181606,1.96074964064942,0.0922065466254724,0.220975920409947,-4.27133022123606,"Others"
"2596","Q13151","HNRNPA0",NA,878.8734131,NA,488.3675232,798.138916,1341.244263,1530.569824,-5.52552813694807,7.04706516697699,-1.95876784771689,0.0924725665568065,0.22136255958197,-4.27381929336755,"Others"
"2597","Q86WG3","ATCAY",NA,1349.633667,NA,140.2332001,542.598999,2851.918213,511.3947449,-5.46990546901919,6.72958424258642,-1.95881154181593,0.0924666932565681,0.22136255958197,-4.27376441992242,"Others"
"2598","Q93015","NAA80",478.0911865,956.484375,636.1157227,712.9546509,53.9389534,NA,940.0270996,4.18130713702864,7.60860169127981,1.95868090715321,0.0924842540817303,0.22136255958197,-4.27392847741846,"Others"
"2599","Q9UBM7","DHCR7",2001.278809,2175.888184,2115.84668,1546.889282,1362.999512,1534.29187,1464.798096,0.419684820635052,10.7449516728359,1.95848751198607,0.0925102576545329,0.22136255958197,-4.27417134894376,"Others"
"2600","P62906","RPL10A",431.125,218.6929932,230.9557037,237.6719666,628.8178101,462.7310181,473.3661194,-0.94245391826453,8.47671901231029,-1.95805250301474,0.0925687745564238,0.221417388064,-4.27471763014476,"Others"
"2601","Q06787","FMR1",NA,NA,NA,382.1506042,502.787262,25.71923637,125.4302139,-4.75411644776181,4.18292042023756,-1.95213420458521,0.09336853372527,0.223244487211632,-4.28214753170984,"Others"
"2602","Q9Y463","DYRK1B",113.0511703,124.3963394,NA,NA,126.9882202,103.2335739,879.1585083,-4.3774154554766,5.32700741102659,-1.94896925236545,0.0937990159145802,0.224187578775086,-4.28611910654862,"Others"
"2603","Q8IWZ3","ANKHD1",NA,NA,80.54677582,16.50555992,51.44292831,31.64951324,213.5576782,-3.54247157090522,4.13802641040236,-1.94669252170189,0.0941098953346847,0.224844194808453,-4.28897532587471,"Others"
"2604","Q96BW9","TAMM41",183.1633911,207.5344238,209.1171875,96.362854,44.15927505,114.95047,46.89729309,1.40860437420272,6.7836459513982,1.94557722683875,0.0942625550767268,0.225122438564579,-4.29037425894265,"Others"
"2605","Q9Y587","AP4S1",1348.516602,4286.064453,2530.399658,872.0565186,1011.445435,1185.484863,379.1663513,1.2960485715709,10.3294636688194,1.94303966465904,0.0946108018755961,0.22586739994792,-4.2935565884643,"Others"
"2606","Q9BSK2","SLC25A33",NA,451.0500488,709.7755127,1323.520874,33.25654602,NA,NA,5.4667750029347,4.82330736065835,1.94099194365633,0.0948927479168928,0.226453568417174,-4.29612402493848,"Others"
"2607","O75145","PPFIA3",112.039238,137.6207886,34.40533829,277.5387878,726.725769,393.2940979,187.4413452,-1.76195643481092,7.55595145766115,-1.93840540359097,0.0952500652596674,0.227194546651541,-4.2993662765733,"Others"
"2608","Q9ULH0","KIDINS220",1085.67334,824.5635376,958.5946655,990.5537109,1336.654297,1437.915527,1258.252441,-0.482844242442887,10.1156248695564,-1.93821579376526,0.0952763109289629,0.227194546651541,-4.29960392079707,"Others"
"2609","P52943","CRIP2",48.4629364,73.46169281,200.0939636,13.67547607,NA,NA,96.17254639,3.64261534138757,4.28232010406436,1.93769759332707,0.0953480762088736,0.227229598397965,-4.30025337505459,"Others"
"2610","Q92769","HDAC2",214.1671143,NA,NA,304.9315491,533.2319946,376.8335876,382.3663025,-4.73357509528005,6.03026975778664,-1.93758204156249,0.0953640861583357,0.227229598397965,-4.30039818999349,"Others"
"2611","O15145","ARPC3",308.2984924,143.5523529,248.2207489,222.4976196,547.0717773,557.9623413,310.9326172,-1.03321456389867,8.24623131750935,-1.9364212313299,0.0955250657917516,0.227525999294869,-4.30185287760799,"Others"
"2612","P20020","ATP2B1",176.3826447,135.6582947,293.9391174,385.7659302,972.5905151,433.3974609,360.3535461,-1.22125166591517,8.36457870685217,-1.93494094269944,0.095730738195429,0.227928583781536,-4.30370767398405,"Others"
