"","PG.Genes","row_mean.HN_L","row_mean.HS_L","row_mean.HN_H","row_mean.HS_H"
"154","TP53I11",20472.96191675,11317.923504,NA,66.53839397
"155","RIOK3",1194.71785463333,801.5648602,NA,NA
"156","MAP2K7",8428.01330575,5033.80826833333,183.9230404,137.28676352
"157","ACOT8",1980.048279,5441.485026,NA,75.15368779
"158","CDIPT",17362.6372075,20743.3906233333,NA,31.35007286
"159","PDCD5",5106.835327,4828.25439466667,570.8832520525,342.920125333333
"160","PRMT5",11727.17505,22155.0898433333,NA,NA
"161","SLC9A3R1",580.96847535,1523.8236492,NA,NA
"162","TNFRSF10B",5343.49230975,2882.49139413333,NA,NA
"163","TPP1",3079.41973875,18789.9837233333,486.3866984,204.851328566667
"164","GNB5",2573.50585925,1618.76228833333,NA,NA
"165","TCERG1",21388.321789475,14081.16862,NA,110.45367431
"166","NRP1",4839.90820325,1197.8431804,121.264709483333,82.398650165
"167","TNPO2",11586.46215525,9391.882812,NA,NA
"168","UNC13B",13457.3286125,6704.330404,205.0538063,235.199137333333
"169","MRAS",2285.00396725,2135.00144433333,82.7802886966667,NA
"170","TSPAN4",2638.93634025,575.106730166667,NA,NA
"171","PSMA7",56021.1494125,58469.4687533333,249.7399044,244.2786204
"172","SCAMP3",23134.6855475,10703.372072,2581.89569075,1603.57727066667
"173","BCKDK",1124.038330175,2614.53255233333,NA,555.104405733333
"174","MGST3",81943.77344,69892.1562533333,NA,421.027943933333
"175","TAX1BP3",3922.64917,2584.68037933333,NA,NA
"176","GIPC1",4072.6813965,2512.86735033333,812.037536625,549.1284383
"177","LIN7A",8843.27807475,12333.550781,NA,140.6803131
"178","PCDH17",3155.75152575,572.2633311,31.8185148225,565.73820495
"179","RGS12",5102.12695325,2573.50113933333,322.6023178,579.454060866667
"180","TIMM23",11227.319579,18615.5572933333,NA,149.56707
"181","UBE2L6",3876.53680425,2422.24772166667,NA,NA
"182","CASK",32102.016115,10783.0488273333,89.7134729933333,113.305341413333
"183","UQCRQ",6506.8449705,8687.61897866667,604.50382995,272.024930333333
"184","MYL12B;MYL12A",39750.0478525,22883.7792966667,NA,90.5588455233333
"185","HGS",11005.6711435,4829.79834,NA,142.0077591
"186","RAB29;RAB38;RAB32",1386.992218,2013.223633,NA,NA
"187","CLGN",10063.5893565,10156.3727203333,61.7250588666667,65.196710585
"188","VPS26C",3184.73321525,2897.53719066667,NA,NA
"189","PPP1R12A",6649.69897475,6394.72672533333,NA,91.67808057
"190","GAK",3189.806824,1982.029948,NA,85.503458025
"191","HNRNPDL",1965.55822775,92805.57033,124.545906076667,594.8087055
"192","XPO1",7630.918213,12667.16211,824.720970175,NA
"193","SYN3",6738.1988525,1450.343343,NA,NA
"194","SPTBN2",12881.3132325,14216.9980466667,NA,NA
"195","SEC16A",1095.1087237,6958.00569666667,669.198557533333,432.8366801
"196","PLXNB2",9372.68969675,5744.57340466667,NA,313.331431066667
"197","RIMBP2",463.173182166667,NA,NA,NA
"198","TECPR2",1508.0663657,2628.39931256667,NA,NA
"199","SEMA3E",678.30793,685.9897765,NA,60.296356205
"200","U2SURP",5267.31778966667,4265.77384466667,NA,162.653999333333
"201","SYNM",2869.1779785,2437.475586,61.4849853525,68.478155135
"202","KIF3B",7693.76477075,6203.99576833333,NA,114.6735382
"203","PFAS",25348.6196275,33701.08724,NA,158.203174603333
"204","MCF2L",4595.93634025,2527.017171,NA,192.649912523333
"205","NACAD",5093.66528325,19186.1842433333,204.570834175,233.500719733333
"206","DCLK1",109811.169925,48318.8020866667,149.407124826667,176.583902966667
"207","CEP290",4615.269287,1722.06458656,NA,NA
"208","SNPH",5507.37292475,566.985656733333,287.284203873333,NA
"209","ERC2",2898.1171265,1123.12150033333,NA,330.8853658
"210","ANKRD28",3012.9187625,1848.60461433333,NA,NA
"211","ARHGEF11",2892.1263425,1711.00769066667,NA,NA
"212","PRORP",928.973312475,1556.820882,NA,907.420226966667
"213","CHUK",2146.524811,1757.141113,NA,NA
"214","LSM1",2218.16537475,4102.093099,NA,NA
"215","NPC1",2380.413391,4490.97672533333,NA,60.93821144
"216","DEGS1",663.813697676667,1968.195923,NA,NA
