,JR_7961_S11,JR_7961_S12,JR_7961_S13,JR_7961_S14,JR_7961_S15,JR_7961_S16,JR_7961_S17,JR_7961_S18,JR_7961_S19,JR_7961_S20
SNORA50A,0.499358394491286,1.28119470126968,0.790260761786773,0.270677169536476,0.3205946174481,1.20899710949586,0,0,0,0.674009861519147
SNORA51,0.0866434919278718,0.0855248457620428,0.105115917250594,0,0.192323776687256,4.33672055581149,2.08711199082734,0.987852045111203,1.14107477154099,0.892986996740986
SNORA52,0.38384343277692,0.166575441975074,0.058047410946193,0,0,2.06490903576991,1.27763466864441,1.21826108403278,0.926562428246115,1.24299914666493
SNORA53,0.738206648247151,1.15009356905903,0.403242320471456,0.355893530444932,0.459355601353917,30.10548922263,20.0554847669544,7.88129513976504,8.08418337293217,4.07757855144902
SNORA54,2.12896594497905,0.940101357448437,0.467887921438266,0.704179040228852,1.33552083260503,8.04724043156746,5.0093030154706,5.24978181408616,4.20925227334049,4.96562050515398
SNORA57,1.15511887375412,1.31812985106326,0,0.297344398861974,0,3.00166183221979,0.973925911753342,1.96109287570571,0.927448717190964,1.31826455236366
SNORA59B,0.700834138487416,0.193357942828733,0,0.117447134191974,0.524593783889598,0.869522413159011,1.32240505279628,1.41142634065001,1.00049056678466,0.794377596122119
SNORA5A,0.551687747152217,0.169854619737045,0.181330898760771,0.0538276122172011,0.701297677011946,9.8260454521648,4.41936837176624,2.32894165607409,2.88330030403221,2.14015969106311
SNORA61,1.42315763151913,0.445735538044974,0,0.444728030883622,1.68659745770151,6.46877612903627,2.07753699157806,2.94992436408762,2.1304121735004,1.59264870791701
SNORA62,2.42846684492782,2.23718560011571,1.11627446686674,1.02316044328387,2.83867375322544,11.2238120448022,5.77215315548414,3.67886046322612,6.03781873345199,5.37848046338715
SNORA63,1.26579983202612,1.02812900222507,0.917160455185758,0.441226946471638,2.08685208959419,17.466255549765,9.19912902166804,11.4230888290203,12.662087684556,17.7701717334314
SNORA63C,0.0544440883395446,0.0843106004116052,0.0602053991715803,0.0534367368021073,0,3.52829302818438,1.4673165948373,0.832330719934801,1.47779231392588,2.10226472548734
SNORA63D,0.719657799770076,0.170925075896471,0,0,0.576550986454187,2.84016190073063,1.66974380024084,1.499916217534,1.52359752524045,2.03827055690727
SNORA64,0,0,0,0,0,4.66942444969177,4.16807144348036,1.99681506822803,2.88150969769662,1.72111239731668
SNORA67,0,0,0,0,0.138442062844632,10.386831071316,5.66236869150083,3.13618019407504,3.92904393850165,6.20649415603469
SNORA68,1.00714685146611,0.406092825168491,0.3655637155414,0.228201445443314,0.66696782890318,4.1654152025312,2.60486895048691,1.8963323872621,2.34770926681229,2.22205526590525
SNORA70,0.709202921840281,0,0,0,1.04991814933067,12.5763296168579,5.58237335825086,7.04561318579306,7.25564210469156,7.38965718082922
SNORA71B,1.21433123310111,1.35655121391081,0.550883403533241,0.151609121401338,0.46603889136938,17.1861579463924,14.101027770057,11.4674800530314,9.97695080692338,11.1222354322174
SNORA73A,27.4155099493456,36.7807751777376,12.3605116781983,12.2469883773483,11.711809566645,132.802731924325,90.5290924065923,86.6252914319939,94.8631535528322,123.150395975346
SNORA73B,33.6991373739577,66.9628674375945,13.1486186644255,14.9255277969885,10.6824869377189,221.250701883036,201.559724906104,152.80180839851,191.620140220874,186.006208079739
SNORA74A,0.116405090141656,0,0.200947914387501,0.0585904130277068,0.0589618905367854,5.3994581260048,4.75754346677977,3.21813127420694,4.71855024344141,2.07169619088198
SNORA74B,0.915367359483985,1.74198720086306,0.122015876584279,0.163064535052122,0.351126585125487,6.29588421244306,8.10586322378086,8.73940348810523,7.4414803679892,5.31093553800174
SNORA79B,5.73519391596554,3.42784745435773,2.34580192934985,2.26850141787455,3.5988271238059,17.5629716646859,10.3582644679533,12.291256371042,11.6756709785197,17.3501269333862
SNORA7A,1.52551185736634,1.47653889571001,0.237774846810917,0.891190473592646,0.934683104698298,21.4165883636978,11.2675937241037,11.1865724409882,10.135020926727,14.1053535979823
SNORA7B,0.236976125123276,0.800756230379611,0.121870622802808,0.10884103382625,0.369227548578144,4.91463245010069,3.43562231088199,2.32195998711557,2.71519091067044,3.6759332749588
SNORA8,0.88624509500325,1.48117977934944,0,0,1.59942568837363,10.5086077187055,5.98116436351702,5.15820437018586,4.0458010829253,6.39093411625789
SNORA81,1.13775487311287,0,0,0,0.99391401181945,24.1276945740234,7.69563544534015,2.63996498845225,1.14815824413,0
SNORA9,1.22216391872666,1.64867476073354,0.136479564721114,0.418914886129991,0.774118559220895,2.77291859790754,1.66285506750884,1.2947696975318,1.65713720080326,3.46052984933128
SNORC,2.12029295124855,0.431368816854486,0.847986758749692,0.571166631469491,1.8723500699632,1.96241007550867,1.09335628654449,2.16011443474601,1.40144115333084,1.59076062684726
SNORD10,9.79161106346749,4.69848767412708,4.06540621376459,5.48854864155706,11.490921938274,332.062126655217,186.83001135892,183.370789539721,183.022556248638,253.948669960992
SNORD105B,0,0,0.107812458712357,0.0499260088858681,0,3.05409965238678,1.05103536875828,0.734444969579135,0.58252937964382,1.01343124930262
SNORD115-23,0.714072218232454,0.314071205570663,0,0.0995304283640823,0.559632371359722,1.87764093984202,1.58216582125655,1.11965111009296,1.0238457315375,0.732410108414755
SNORD115-33,0.267570618706206,0,0,0,0.0681526072707381,0.753236399525616,0.958181418411557,0.671272697888687,1.30226544029836,0.653078989262382
SNORD116-1,0.838946790141033,0,0.531503647418157,0.252276559041207,0.942130478411809,5.95172175128828,4.48205451297962,3.07323192400903,3.34493662285612,2.79497082986536
SNORD116-14,0.263077404260886,0,0,0.0897838870539878,0,3.92877075366505,2.10546090594618,3.0735297703902,2.75742828137713,2.59180470809611
SNORD116-15,0.821969327275131,0.468604409794158,0.106301772273858,0,0.209164679128909,16.4947777269584,7.83517274841132,12.3562658108985,9.21472657116741,10.6072141242904
SNORD116-16,1.35214144019306,0.436808640845249,0.0799093648306535,0.494072538230064,0.269502229536877,13.9990614303136,8.07625599578963,7.11992315719428,7.91754487366275,8.43486718458437
SNORD116-17,0.507909253554608,0.326661277004046,0,0,0,14.9969472475217,8.21999028216754,12.3286517746884,11.0036670266398,10.1911339790814
SNORD116-2,1.03130876567184,0.620031851501598,0,0.394427478468194,0.514079949499093,15.4977145184735,6.83356998617013,6.97582882489262,7.71465217776896,8.67227574302163
SNORD116-20,0,0,0,0,0,4.52072144774956,1.8682271845162,4.60652213546187,3.2018720966469,3.6073887516786
SNORD116-22,0.163935044060003,0,0.180342420327858,0,0.280297888636771,8.50104798385004,4.26165047537844,5.12982352358268,5.72331105965102,5.03821832041643
SNORD116-23,0.194352603964825,0,0,0.277499856391178,0,4.19692170083959,2.59806439542412,2.07039429107299,2.6428806736411,2.78686088138641
SNORD116-24,0.550481951313359,0,0,0.243633634533684,0.252226305853317,18.091445165659,6.88816351339696,6.93934023526224,10.78146066374,9.13143696050303
SNORD116-3,8.83586082079813,5.88970596882628,1.62709889351436,3.14998714795795,7.71084533874953,88.2054402289883,37.0339765050689,39.0912168288909,46.025601445069,53.3225165351176
SNORD116-5,0.476080160216135,0.514265318775609,0,0,0.477506337674504,11.3115516933855,4.59555478835885,3.17266914686042,5.29731496098797,7.18577432159739
SNORD116-6,0,0,0,0,0.108958578033801,13.5630752223501,7.22853174268176,6.78110301179446,7.3325517696884,9.44838811881652
SNORD116-8,1.15316363653077,0.738608928248807,0.318453312143753,0,0.386854051417923,18.5748662613819,8.09202218123485,6.76433712623632,7.7768662831439,11.9789805814647
SNORD118,0.336121587498269,0,0,0,0.281057043759351,6.69659298383632,3.98973938185648,2.83809752704133,1.97368928189262,1.52476490386038
SNORD12,0,0.118078135171945,0,0,0.0773366760375507,3.83318855509022,1.58791835016662,1.88618951263562,0.938219653829716,1.18869401979215
SNORD12B,0,0.0784572326723887,0,0,0.0679584147957388,11.0975714897988,6.47035705603407,6.35002218755191,4.76856949564421,4.85192386814466
SNORD13,2.48380247481939,1.15776343323868,0.339557162528096,0.943456857367532,2.4497860274937,13.8118091569004,7.51172949050912,6.44052654011153,4.71373207138356,6.25259531017289
SNORD14C,0,0,0,0,0,11.976756345914,4.6768251769672,3.19503047509995,3.4631898312849,3.03195671440638
SNORD15A,4.08869212863446,4.27046648254603,0.99134824166919,1.99583861330661,3.51897039090351,39.5772482168008,28.9097497322349,19.8405924162354,23.7921677051455,21.9804420587336
SNORD15B,7.82887837883906,8.52914064550972,2.58744930566465,4.79280478598491,9.03569623915809,143.215244243522,106.344579077707,73.7380122794785,109.688368667009,125.182273387699
SNORD16,0,0,0,0.183225567767253,0.393873997881796,22.4389132939575,9.79192053530576,7.81057526366794,7.89011067272048,9.60770610905772
SNORD17,23.2484196851979,30.0211984268204,12.1920465710224,13.6624959997028,16.7013595506866,178.310343149386,172.651591743119,132.44143408226,166.271388538438,157.3054767411
