,JR_7961_S1,JR_7961_S2,JR_7961_S3,JR_7961_S4,JR_7961_S5,JR_7961_S6,JR_7961_S7,JR_7961_S8,JR_7961_S9,JR_7961_S10
SNORA2C,7.63441881074062,9.84354065383518,15.4064475285347,13.5490119030056,10.8413735807343,21.6395201450031,11.9205222777054,9.18488832388439,12.7693255800446,16.7585284589039
SNORA31,0.0725763270678517,0.345009725580927,0.254294191839577,0.192933080813601,0.559966816600186,10.7041665271006,12.2986422538933,7.2834363062701,8.36946785656551,5.81123506096916
SNORA31B,1.03000658344822,1.0124647736882,5.28450267373114,3.53318015101562,3.29907727753685,7.99545692224372,7.95451896308949,4.57440629114926,5.09922308243622,5.82068567886364
SNORA35B,0.0685274649414192,0.090096401946374,0.349853396227464,0.868391255720341,0.278950666498716,2.50586791811141,1.92132505705847,2.25831605479183,2.40295879554236,2.43452522923007
SNORA37,0.822329579297031,0.810867617517365,2.97375386793344,2.3683397883282,2.09212999874037,4.42211985549073,2.96932054272673,2.74660060717926,1.93281468337103,3.95610349749886
SNORA38B,0.471445699888495,0.650824299057632,2.92263104135895,0.93316596003857,0.965540096888413,3.59579219771821,3.00410551717728,1.82658239551634,3.35162148243771,4.12018198961019
SNORA40B,0.0676299021669761,0,0.71873927176163,0.418224390323026,0.110807047015256,0.98145999273454,0.825280988650554,1.43996063577698,1.00661935982208,1.19275968734722
SNORA47,0.275880611430936,0.906784253508466,1.34976823145131,0.844285033114831,0.825100960609104,4.11780105211377,4.21038965947252,1.79821951661947,4.89500741952273,2.56620171795466
SNORA48,4.60035878957602,7.80059734015577,11.0504406469723,12.1757877489682,11.4964731593603,24.9930633792921,17.2245351508761,14.6910297166091,20.1390769637085,20.2269486821017
SNORA49,15.4845147107505,16.7689142408238,29.3169587402234,26.1089183603909,20.1251298585948,39.2135038471622,34.5211284604993,24.2805604745717,30.1652376822043,29.0979244270563
SNORA51,0,0.264842379668622,0.401059661215371,0.240526111003189,0.101610324751275,1.57245698189551,2.46435187059438,1.15609709277034,2.63116885871288,1.96946032895251
SNORA52,0,0.364230619505215,0.26608839207195,0,0.256654911337625,1.53510496790849,1.80515580158351,1.46569916321691,1.01443319538616,1.01266347915379
SNORA53,0.611511480516754,1.02143579006182,2.7043213445525,2.565083727858,2.94705581272239,14.4729853852253,30.0992291241056,21.3913578439913,21.0371225155066,12.1667243892703
SNORA54,1.835705651709,1.07266301924338,3.18179465581854,2.57110323230854,1.64706300536798,7.83251562236089,4.63515045796462,3.20947119530156,3.88872464656829,4.98999489144179
SNORA57,1.00898016472512,2.33342496619722,3.26852840595006,3.81915056036451,1.33493223443628,1.76174609642138,1.99251351075694,1.90524512866472,1.89586670801264,1.55888255973133
SNORA59B,0.341642444507882,0.611939191508995,1.28617701644336,0.591633223824974,0.307952064242933,1.13936225955459,0.853189135705822,1.17054608409517,0.794025823264395,1.2727380768466
SNORA5A,0.202361339288634,0.278723580620039,0.40176722746656,0.624364944981481,0.625218842721555,4.79662992206372,6.51238123798453,4.02817177638625,6.06624717933835,4.49099587770844
SNORA6,0,0.318627258383294,0,0,0,1.75674436599426,2.61499587053686,1.82415928364127,2.76054682781234,1.37842614309203
SNORA61,0,0,1.10623650603167,1.09564065172744,1.02379796707936,4.2311356214507,2.45004158868953,0.799636735395222,1.78718104937491,3.51431969559668
SNORA62,1.59545535137561,1.94678122922728,0.817639493474939,1.85161995720955,2.87963413043015,8.97181939148129,5.3231743866072,8.30949225533708,6.09034876038095,5.9320771713276
SNORA63,1.73111620867663,3.54746966447397,2.78248147600909,5.26070539016212,2.63369720240492,16.1082009608265,12.2998994091501,10.9706930385494,7.79980151898947,12.4700100633386
SNORA63C,0.137054929882838,0.270289205839122,0.058308899371244,0.23683397883282,0.069737666624679,1.67057861207427,1.86310308563246,2.07520934764655,2.24624409148525,1.62301681948671
SNORA63D,0.206585330603043,0.271607814445599,0.351560159536189,0.477060521446296,0.493611085084859,2.90943406876642,2.29165489199398,1.10399997033538,2.53062289049569,2.12413565651454
SNORA64,0.216238110630481,0,0.196066230267069,0.105049324863574,0.464433343065327,5.18780551813268,5.00250144673415,2.99744381494484,2.45641223245323,3.26659863080792
